group,full_name,stars,forks,open_issues,watchers,language,license,created_at,pushed_at,days_since_last_push,archived,source,note,topics,html_url,description
Agent应用/个人助理,openclaw/openclaw,385885,81094,5605,0,TypeScript,NOASSERTION,2025-11-24,2026-08-11,0,False,search_api(core rate-limited),,"ai,assistant,crustacean,molty,openclaw,own-your-data,personal",https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 
框架与SDK,obra/superpowers,270517,24172,333,1024,Shell,MIT,2025-10-09,2026-08-08,3,False,repo_api,,"ai,brainstorming,coding,obra,sdlc,skills,subagent-driven-development,superpowers",https://github.com/obra/superpowers,An agentic skills framework & software development methodology that works.
框架与SDK,affaan-m/ECC,239335,36345,136,0,JavaScript,MIT,2026-01-18,2026-08-11,0,False,search_api(core rate-limited),,"ai-agents,anthropic,claude,claude-code,developer-tools,llm,mcp,productivity",https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."
框架与SDK,NousResearch/hermes-agent,228737,45025,30828,873,Python,MIT,2025-07-22,2026-08-11,0,False,repo_api,,"ai,ai-agent,ai-agents,anthropic,chatgpt,claude,claude-code,clawdbot,codex,hermes,hermes-agent,llm,moltbot,nous-research,openai,openclaw",https://github.com/NousResearch/hermes-agent,The agent that grows with you
平台/低代码,n8n-io/n8n,200194,60073,1421,1151,TypeScript,NOASSERTION,2019-06-22,2026-08-11,0,False,repo_api,,"ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation",https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
Agent应用/编码智能体,anomalyco/opencode,196028,25144,5052,0,TypeScript,MIT,2025-04-30,2026-08-11,0,False,search_api(core rate-limited),opencode 迁移后的活跃仓库（旧仓库 opencode-ai/opencode 已归档）,,https://github.com/anomalyco/opencode,The open source coding agent.
Agent应用/编码智能体,Significant-Gravitas/AutoGPT,186510,46082,502,1552,Python,NOASSERTION,2023-03-16,2026-08-11,0,False,repo_api,,"agentic-ai,agents,ai,artificial-intelligence,autonomous-agents,claude,gpt,llama-api,llm,openai,python",https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
协议/基础设施/记忆,firecrawl/firecrawl,165519,9312,497,0,TypeScript,AGPL-3.0,2024-04-15,2026-08-11,0,False,search_api(core rate-limited),,"ai,ai-agents,ai-crawler,ai-scraping,ai-search,crawler,data-extraction,html-to-markdown,llm,markdown,scraper,scraping,web-crawler,web-data,web-data-extraction,web-scraper,web-scraping,web-search,webscraping",https://github.com/firecrawl/firecrawl,"The context API to search, scrape, and interact with the web at scale. 🔥"
平台/低代码,langflow-ai/langflow,153046,9840,979,541,Python,MIT,2023-02-08,2026-08-11,0,False,repo_api,,"agents,chatgpt,generative-ai,large-language-models,multiagent,react-flow",https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
平台/低代码,langgenius/dify,152076,23996,956,825,TypeScript,NOASSERTION,2023-04-12,2026-08-11,0,False,repo_api,,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,claude,genai,gpt,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,skills,workflow",https://github.com/langgenius/dify,"Build Agentic workflows, RAG pipelines, with rich AI model and tool support on one collaborative workspace. Deploy on cloud, VPC, or self-hosted, so teams move from prototype to production without rebuilding the stack."
